"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_05 - Check format of single user","207","test_check_format_single_user[13-404]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","188","test_delete_user","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/user.feature: TC_14 - Performance Baseline","174","test_performance_baseline","steps","Thu Mar 26 11:27:39 UTC 2026","passed","Thu Mar 26 11:27:39 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","193","test_get_user_invalid_id_returns_404[0]","steps","Thu Mar 26 11:27:38 UTC 2026","passed","Thu Mar 26 11:27:39 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","87","test_check_nested_fields[name-company]","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/headers.feature: TC_11 - Response contains Content-Type","86","test_check_response_contains_content_type","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:38 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","91","test_check_nested_fields[city-address]","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","196","test_get_user_invalid_id_returns_404[Eisenhower]","steps","Thu Mar 26 11:27:38 UTC 2026","passed","Thu Mar 26 11:27:38 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","1","test_get_all_users","steps","Thu Mar 26 11:27:36 UTC 2026","broken","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","190","TC_01 - Create user with complete data","steps","Thu Mar 26 11:27:35 UTC 2026","passed","Thu Mar 26 11:27:35 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","87","test_check_format_single_user[2-200]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","91","test_validate_schema","steps","Thu Mar 26 11:27:39 UTC 2026","passed","Thu Mar 26 11:27:39 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","189","test_update_user_data[Auston-NoRingTill67-2]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","91","test_check_content_type_response","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","189","test_get_user_invalid_id_returns_404[404]","steps","Thu Mar 26 11:27:38 UTC 2026","passed","Thu Mar 26 11:27:38 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","91","test_check_format_single_user[1-200]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","200","test_get_user_invalid_id_returns_404[9999999]","steps","Thu Mar 26 11:27:38 UTC 2026","passed","Thu Mar 26 11:27:38 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","195","test_get_not_existing_user","steps","Thu Mar 26 11:27:35 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","195","test_get_user_invalid_id_returns_404[-2]","steps","Thu Mar 26 11:27:38 UTC 2026","passed","Thu Mar 26 11:27:38 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","197","test_update_user_data[Brady-sagvdfs-1]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","194","test_create_user_min_payload","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","195","test_check_format_single_user[45465-404]","steps","Thu Mar 26 11:27:36 UTC 2026","passed","Thu Mar 26 11:27:36 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","93","test_get_existing_user","steps","Thu Mar 26 11:27:35 UTC 2026","passed","Thu Mar 26 11:27:35 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","120","test_update_user_data[Nathan-MissingEmptyNet-3]","steps","Thu Mar 26 11:27:37 UTC 2026","passed","Thu Mar 26 11:27:37 UTC 2026","","test_users","",""
