"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_15 - Users List Structure validation","41","TC_15 - Users List Structure validation","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","37","TC_05 - Check format of single user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_14 - Performance Baseline","68","TC_14 - Performance Baseline","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","37","TC_10 - Checking nested fields","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","39","TC_07 - Delete user","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","35","TC_02 - Get existing user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","36","TC_08 - Checking Content-Type response","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","134","TC_16 - Full User Lifecycle","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:21 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","121","TC_16 - Full User Lifecycle","steps","Thu May 14 06:30:21 UTC 2026","passed","Thu May 14 06:30:21 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","62","TC_12 - Get user with invalid ID returns 404","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","52","TC_06 - Update user data","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_17 - User Creation With Random Data (Faker + Data-Driven)","43","TC_17 - User Creation With Random Data (Faker + Data-Driven)","steps","Thu May 14 06:30:21 UTC 2026","passed","Thu May 14 06:30:21 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","37","TC_05 - Check format of single user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","49","TC_06 - Update user data","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","116","TC_16 - Full User Lifecycle","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","35","TC_10 - Checking nested fields","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","32","TC_04 - Get all users","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","61","TC_12 - Get user with invalid ID returns 404","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
