"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","56","TC_12 - Get user with invalid ID returns 404","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","52","TC_06 - Update user data","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","50","TC_03 - Get not existing user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/headers.feature: TC_11 - Response contains Content-Type","33","TC_11 - Response contains Content-Type","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","58","TC_05 - Check format of single user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","56","TC_12 - Get user with invalid ID returns 404","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","39","TC_09 - Creating user with minimal payload","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","62","TC_05 - Check format of single user","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","57","TC_12 - Get user with invalid ID returns 404","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","50","TC_01 - Create user with complete data","steps","Thu May 14 06:30:19 UTC 2026","passed","Thu May 14 06:30:19 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","38","TC_13 - Schema Validation","steps","Thu May 14 06:30:20 UTC 2026","passed","Thu May 14 06:30:20 UTC 2026","","test_users","",""
