"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_07 - Delete user","74","TC_07 - Delete user","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_15 - Users List Structure validation","62","TC_15 - Users List Structure validation","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","62","TC_05 - Check format of single user","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","48","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","45","TC_13 - Schema Validation","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","59","TC_05 - Check format of single user","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","167","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","65","TC_09 - Creating user with minimal payload","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","94","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","54","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/headers.feature: TC_11 - Response contains Content-Type","58","TC_11 - Response contains Content-Type","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","226","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","47","TC_08 - Checking Content-Type response","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","182","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","55","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","61","TC_03 - Get not existing user","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","49","TC_05 - Check format of single user","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","94","TC_06 - Update user data","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","49","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
