"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_06 - Update user data","99","TC_06 - Update user data","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","82","TC_06 - Update user data","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","45","TC_02 - Get existing user","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","88","TC_01 - Create user with complete data","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","63","TC_05 - Check format of single user","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_17 - User Creation With Random Data (Faker + Data-Driven)","96","TC_17 - User Creation With Random Data (Faker + Data-Driven)","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","46","TC_04 - Get all users","steps","Thu Apr 23 13:09:58 UTC 2026","passed","Thu Apr 23 13:09:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_14 - Performance Baseline","107","TC_14 - Performance Baseline","steps","Thu Apr 23 13:10:00 UTC 2026","passed","Thu Apr 23 13:10:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","46","TC_10 - Checking nested fields","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","61","TC_10 - Checking nested fields","steps","Thu Apr 23 13:09:59 UTC 2026","passed","Thu Apr 23 13:09:59 UTC 2026","","test_users","",""
