"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_05 - Check format of single user","133","test_check_format_single_user[45465-404]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","82","test_check_content_type_response","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","1","test_get_all_users","steps","Thu Mar 26 11:33:58 UTC 2026","broken","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","142","test_update_user_data[Nathan-MissingEmptyNet-3]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","135","test_update_user_data[Brady-sagvdfs-1]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","145","test_get_user_invalid_id_returns_404[404]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","79","test_check_nested_fields[city-address]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/headers.feature: TC_11 - Response contains Content-Type","77","test_check_response_contains_content_type","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_14 - Performance Baseline","153","test_performance_baseline","steps","Thu Mar 26 11:34:00 UTC 2026","passed","Thu Mar 26 11:34:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","59","test_check_nested_fields[name-company]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","79","test_check_format_single_user[1-200]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","68","test_validate_schema","steps","Thu Mar 26 11:34:00 UTC 2026","passed","Thu Mar 26 11:34:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","88","test_delete_user","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","148","test_get_user_invalid_id_returns_404[-2]","steps","Thu Mar 26 11:34:00 UTC 2026","passed","Thu Mar 26 11:34:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","67","test_get_existing_user","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","90","test_create_user_min_payload","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","79","test_get_user_invalid_id_returns_404[9999999]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","148","test_get_user_invalid_id_returns_404[Eisenhower]","steps","Thu Mar 26 11:33:59 UTC 2026","passed","Thu Mar 26 11:34:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","141","test_update_user_data[Auston-NoRingTill67-2]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:59 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","79","test_check_format_single_user[2-200]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","161","test_get_not_existing_user","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","78","test_get_user_invalid_id_returns_404[0]","steps","Thu Mar 26 11:34:00 UTC 2026","passed","Thu Mar 26 11:34:00 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","85","test_check_format_single_user[13-404]","steps","Thu Mar 26 11:33:58 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","152","TC_01 - Create user with complete data","steps","Thu Mar 26 11:33:57 UTC 2026","passed","Thu Mar 26 11:33:58 UTC 2026","","test_users","",""
